x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
694189.6,4399703.53,0.1,0.0,6.24566072826171,0
694189.6,4399703.53,0.1,0.0,6.24566072826171,0.100082947
694189.61,4399703.53,0.1,0.0,6.246882458738105,4.66914391
694189.6,4399703.53,0.16,0.06,6.247056991663304,6.602178496
694189.59,4399703.54,0.3,0.2,6.246882458738105,6.834915169
694189.58,4399703.55,0.52,0.42,6.246707925812904,7.068893819
694189.55,4399703.56,0.81,0.71,6.246707925812904,7.302747199
694189.55,4399703.57,1.17,1.07,6.246707925812904,7.535285205
694189.54,4399703.58,1.57,1.47,6.246882458738105,7.801810303
694189.53,4399703.59,2.01,1.91,6.247056991663304,8.036105959
694189.53,4399703.59,2.47,2.37,6.247056991663304,8.268848417
694189.52,4399703.61,2.95,2.85,6.247056991663304,8.501848172
694189.51,4399703.62,3.45,3.35,6.2355378186001404,8.736252285
694189.5,4399703.62,3.96,3.86,6.235363285674941,9.002700174
694189.5,4399703.62,4.47,4.37,6.235363285674941,9.235014494
694189.49,4399703.62,5.0,4.9,6.235363285674941,9.468693427
694189.49,4399703.63,5.54,5.44,6.235363285674941,9.703099453
694189.49,4399703.63,6.09,5.99,6.235363285674941,9.935914446
694189.49,4399703.63,6.63,6.53,6.2355378186001404,10.201889683
694189.48,4399703.63,7.16,7.06,6.2355378186001404,10.435772307
694189.48,4399703.63,7.67,7.57,6.2355378186001404,10.668745355
694189.48,4399703.63,8.14,8.04,6.235363285674941,10.902716628
694189.48,4399703.64,8.56,8.46,6.235363285674941,11.13555196
694189.47,4399703.64,8.92,8.82,6.235363285674941,11.402223446
694189.47,4399703.64,9.21,9.11,6.235363285674941,11.636124388
