x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
694239.59,4399703.74,0.1,0.0,6.24566072826171,0
694239.6,4399703.74,0.1,0.0,6.246882458738105,4.802935817
694239.59,4399703.74,0.15,0.05,6.247056991663304,6.50292443
694239.59,4399703.75,0.28,0.18,6.246882458738105,6.735969738
694239.58,4399703.76,0.49,0.39,6.246707925812904,6.969224105
694239.56,4399703.77,0.78,0.68,6.246707925812904,7.20319271
694239.55,4399703.78,1.13,1.03,6.246707925812904,7.469121107
694239.53,4399703.78,1.53,1.43,6.246707925812904,7.702956439
694239.52,4399703.79,1.96,1.86,6.246707925812904,7.935984264
694239.52,4399703.8,2.42,2.32,6.246707925812904,8.169606538
694239.52,4399703.81,2.9,2.8,6.246707925812904,8.40271262
694239.51,4399703.81,3.39,3.29,6.235014219824543,8.669554249
694239.5,4399703.83,3.9,3.8,6.235014219824543,8.902577394
694239.5,4399703.83,4.42,4.32,6.2351887527497425,9.135447543
694239.49,4399703.82,4.94,4.84,6.235363285674941,9.369922984
694239.49,4399703.82,5.48,5.38,6.235363285674941,9.603380038
694239.49,4399703.82,6.03,5.93,6.235363285674941,9.868699862
694239.49,4399703.82,6.57,6.47,6.235363285674941,10.102668654
694239.48,4399703.82,7.1,7.0,6.235363285674941,10.336283142
694239.48,4399703.84,7.61,7.51,6.2351887527497425,10.569055836
694239.48,4399703.84,8.09,7.99,6.2351887527497425,10.803184802
694239.48,4399703.84,8.52,8.42,6.2351887527497425,11.069390864
694239.48,4399703.85,8.88,8.78,6.2351887527497425,11.302823276
694239.47,4399703.85,9.18,9.08,6.2351887527497425,11.536282784
